Timestamp,City,Temperature (°C),Humidity (%),Wind Speed (m/s),Description,Insights
2025-12-15 18:04:31,Chennai,24.93,78,1.54,mist,Hot (≥25°C)
2025-12-15 18:05:06,London,10.92,88,3.6,overcast clouds,Hot (≥25°C) | Humid conditions!
